"species","biosample","fish","width.mm","length.mm","aspect"
"Halcyon_badia","AMNH_10276",0,3.757,7.832,2.08
"Dacelo_novaeguineae","AMNH_10535",0,9.51,9.412,0.99
"Ceyx_fallax","AMNH_11341",0,2.895,4.9,1.69
"Ceyx_collectoris","AMNH_11383",0,4.434,5.839,1.32
"Todiramphus_albonotatus","AMNH_13024",0,5.776,4.442,0.77
"Todiramphus_sanctus","AMNH_13026",0,3.969,5.385,1.36
"Dacelo_gaudichaud","AMNH_13216",0,5.802,8.88,1.53
"Ceyx_lepidus","AMNH_13670",0,3.316,4.644,1.4
"Ceyx_pusillus","AMNH_13671",1,2.876,4.793,1.67
"Todiramphus_farquhari","AMNH_14642",0,4.509,5.821,1.29
"Halcyon_senegaloides","AMNH_8939",0,3.383,7.081,2.09
"Halcyon_leucocephala","AMNH_9640",0,4.957,8.196,1.65
"Tanysiptera_danae","BPBM_25084",0,4.494,5.956,1.33
"Ceyx_azureus","BPBM_25191",1,4.303,5.972,1.39
"Tanysiptera_nympha","BPBM_53999",0,3.763,6.261,1.66
"Halcyon_chelicuti","FMNH_288271",0,3.619,5.554,1.53
"Halcyon_senegalensis","FMNH_313732",0,5.386,6.798,1.26
"Megaceryle_torquata","FMNH_318856",1,7.327,16.551,2.26
"Chloroceryle_inda","FMNH_330282",1,4.644,12.358,2.66
"Ceyx_margarethae","FMNH_344953",0,3.425,5.812,1.7
"Todiramphus_chloris","FMNH_395836",0,4.521,5.718,1.26
"Megaceryle_maxima","FMNH_396319",1,7.613,17.181,2.26
"Corythornis_madagascariensis","FMNH_431176",0,3.348,3.957,1.18
"Chloroceryle_amazona","FMNH_433228",1,5.028,13.791,2.74
"Ceyx_melanurus","FMNH_461991",0,2.871,4.212,1.47
"Corythornis_vintsioides","FMNH_427379",1,3.076,5.455,1.77
"Ceyx_argentatus","FMNH_472663",1,3.505,4.637,1.32
"Ceyx_cyanopectus","FMNH_472747",1,3.177,4.89,1.54
"Corythornis_leucogaster","FMNH_473381",1,3.2,4.228,1.32
"Halcyon_malimbica","FMNH_473394",0,4.648,9.021,1.94
"Halcyon_smyrnensis","FMNH_478769",0,4.984,9.249,1.86
"Actenoides_lindsayi","FMNH_480578",0,6.143,9.328,1.52
"Alcedo_quadribrachys","FMNH_496697",1,3.421,6.44,1.88
"Ispidina_picta","FMNH_496705",0,3.19,4.022,1.26
"Alcedo_atthis","FMNH_503739",1,3.687,6.581,1.78
"Ceyx_erithaca","FMNH_503774",0,3.032,4.651,1.53
"Pelargopsis_capensis","USNM_223481",0,7.005,16.38,2.34
"Todiramphus_cinnamominus","USNM_318051",0,4.502,7.727,1.72
"Todiramphus_diops","USNM_507546",0,3.316,5.817,1.75
"Halcyon_coromanda","USNM_509470",1,3.82,10.044,2.63
"Todiramphus_macleayii","USNM_542628",0,3.687,5.951,1.61
"Ceyx_websteri","USNM_616033",1,5.047,7.595,1.5
